File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/499.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	2 mL Std
Injection Number	2
Position	2
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:31:34 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.103452
Signal Max.	17.491462
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-0.041501
0.000167	0.010	-0.019396
0.000333	0.010	-0.015230
0.000500	0.010	-0.029906
0.000833	0.020	-0.045513
0.001000	0.010	-0.037853
0.001167	0.010	-0.035593
0.001333	0.010	-0.033543
0.001500	0.010	-0.028950
0.001667	0.010	-0.045227
0.001833	0.010	-0.036435
0.002000	0.010	-0.045985
0.002167	0.010	-0.042204
0.002333	0.010	-0.037440
0.002500	0.010	-0.011659
0.002667	0.010	-0.014452
0.002833	0.010	-0.066422
0.003000	0.010	-0.052465
0.003167	0.010	-0.041097
0.003333	0.010	-0.030317
0.003500	0.010	-0.053397
0.003667	0.010	-0.031385
0.003833	0.010	-0.019012
0.004000	0.010	-0.045409
0.004167	0.010	-0.009732
0.004333	0.010	-0.033622
0.004500	0.010	-0.056838
0.004667	0.010	-0.059041
0.004833	0.010	-0.030987
0.005000	0.010	-0.026327
0.005167	0.010	-0.000592
0.005333	0.010	-0.043108
0.005500	0.010	-0.043582
0.005667	0.010	-0.045079
0.005833	0.010	-0.038645
0.006000	0.010	-0.046856
0.006167	0.010	-0.041066
0.006333	0.010	-0.007756
0.006500	0.010	-0.005400
0.006667	0.010	-0.012219
0.006833	0.010	-0.018348
0.007000	0.010	0.002787
0.007167	0.010	-0.023725
0.007333	0.010	-0.056058
0.007500	0.010	-0.081919
0.007667	0.010	-0.054922
0.007833	0.010	-0.041584
0.008000	0.010	-0.044569
0.008167	0.010	-0.028129
0.008333	0.010	-0.030343
0.008500	0.010	-0.016019
0.008667	0.010	-0.046693
0.008833	0.010	-0.015592
0.009000	0.010	-0.052835
0.009167	0.010	-0.060064
0.009333	0.010	-0.040702
0.009500	0.010	-0.052250
0.009667	0.010	-0.064845
0.009833	0.010	-0.060025
0.010000	0.010	-0.050310
0.010167	0.010	-0.032185
0.010333	0.010	-0.030678
0.010500	0.010	-0.025568
0.010667	0.010	-0.028294
0.010833	0.010	-0.049978
0.011000	0.010	-0.037923
0.011167	0.010	-0.048458
0.011333	0.010	-0.045150
0.011500	0.010	-0.049059
0.011667	0.010	-0.049733
0.011833	0.010	-0.041559
0.012000	0.010	-0.025974
0.012167	0.010	-0.018576
0.012333	0.010	-0.028195
0.012500	0.010	-0.036565
0.012667	0.010	-0.047110
0.012833	0.010	-0.037032
0.013000	0.010	-0.062955
0.013167	0.010	-0.054301
0.013333	0.010	-0.052056
0.013500	0.010	-0.015249
0.013667	0.010	-0.019217
0.013833	0.010	-0.031994
0.014000	0.010	-0.037414
0.014167	0.010	-0.028987
0.014333	0.010	-0.025547
0.014500	0.010	-0.042144
0.014667	0.010	-0.034204
0.014833	0.010	-0.022064
0.015000	0.010	-0.034659
0.015167	0.010	-0.070702
0.015333	0.010	-0.043898
0.015500	0.010	-0.053461
0.015667	0.010	-0.045631
0.015833	0.010	-0.041203
0.016000	0.010	-0.052379
0.016167	0.010	-0.032680
0.016333	0.010	-0.045244
0.016500	0.010	-0.017901
0.016667	0.010	0.005028
0.016833	0.010	-0.047617
0.017000	0.010	-0.060336
0.017167	0.010	-0.040953
0.017333	0.010	-0.042110
0.017500	0.010	-0.052907
0.017667	0.010	-0.037902
0.017833	0.010	-0.061283
0.018000	0.010	-0.072915
0.018167	0.010	-0.051456
0.018333	0.010	-0.009061
0.018500	0.010	-0.030745
0.018667	0.010	-0.037718
0.018833	0.010	-0.025152
0.019000	0.010	-0.039387
0.019167	0.010	-0.041429
0.019333	0.010	-0.039599
0.019500	0.010	-0.070399
0.019667	0.010	-0.055842
0.019833	0.010	-0.021483
0.020000	0.010	-0.020725
0.020167	0.010	-0.012907
0.020333	0.010	-0.032284
0.020500	0.010	-0.029697
0.020667	0.010	-0.027057
0.020833	0.010	-0.016998
0.021000	0.010	-0.027155
0.021167	0.010	-0.071096
0.021333	0.010	-0.034665
0.021500	0.010	-0.052658
0.021667	0.010	-0.047955
0.021833	0.010	-0.035838
0.022000	0.010	-0.044834
0.022167	0.010	-0.052755
0.022333	0.010	0.016848
0.022500	0.010	0.012067
0.022667	0.010	-0.028337
0.022833	0.010	-0.020809
0.023000	0.010	-0.056038
0.023167	0.010	-0.035477
0.023333	0.010	-0.002831
0.023500	0.010	-0.018280
0.023667	0.010	-0.039030
0.023833	0.010	-0.024028
0.024000	0.010	-0.056413
0.024167	0.010	-0.053731
0.024333	0.010	-0.061033
0.024500	0.010	-0.050703
0.024667	0.010	-0.016893
0.024833	0.010	-0.034194
0.025000	0.010	-0.034136
0.025167	0.010	-0.017358
0.025333	0.010	-0.010287
0.025500	0.010	-0.017508
0.025667	0.010	-0.033481
0.025833	0.010	-0.042161
0.026000	0.010	-0.026191
0.026167	0.010	-0.014082
0.026333	0.010	-0.029585
0.026500	0.010	0.003920
0.026667	0.010	-0.026262
0.026833	0.010	-0.025879
0.027000	0.010	-0.020095
0.027167	0.010	-0.010674
0.027333	0.010	-0.007604
0.027500	0.010	-0.008677
0.027667	0.010	-0.037352
0.027833	0.010	-0.051197
0.028000	0.010	-0.020583
0.028167	0.010	-0.012491
0.028333	0.010	-0.011825
0.028500	0.010	-0.026866
0.028667	0.010	-0.044455
0.028833	0.010	-0.041761
0.029000	0.010	-0.038763
0.029167	0.010	-0.032336
0.029333	0.010	-0.029631
0.029500	0.010	-0.041112
0.029667	0.010	-0.042626
0.029833	0.010	-0.027954
0.030000	0.010	-0.025723
0.030167	0.010	-0.048147
0.030333	0.010	-0.040870
0.030500	0.010	-0.012973
0.030667	0.010	-0.009007
0.030833	0.010	-0.011916
0.031000	0.010	-0.038538
0.031167	0.010	-0.063030
0.031333	0.010	-0.021492
0.031500	0.010	-0.023358
0.031667	0.010	-0.008882
0.031833	0.010	-0.028752
0.032000	0.010	-0.019872
0.032167	0.010	-0.006211
0.032333	0.010	0.006501
0.032500	0.010	-0.000588
0.032667	0.010	-0.030852
0.032833	0.010	-0.023551
0.033000	0.010	-0.008480
0.033167	0.010	-0.019263
0.033333	0.010	-0.018022
0.033500	0.010	-0.036869
0.033667	0.010	-0.028170
0.033833	0.010	-0.043150
0.034000	0.010	-0.039903
0.034167	0.010	-0.016566
0.034333	0.010	-0.029015
0.034500	0.010	-0.014330
0.034667	0.010	-0.009818
0.034833	0.010	0.003151
0.035000	0.010	-0.011402
0.035167	0.010	-0.028154
0.035333	0.010	-0.023668
0.035500	0.010	-0.038254
0.035667	0.010	-0.021107
0.035833	0.010	-0.022166
0.036000	0.010	-0.039606
0.036167	0.010	-0.005693
0.036333	0.010	-0.030842
0.036500	0.010	-0.043332
0.036667	0.010	-0.036458
0.036833	0.010	-0.014531
0.037000	0.010	-0.023631
0.037167	0.010	-0.009494
0.037333	0.010	-0.015426
0.037500	0.010	-0.045321
0.037667	0.010	-0.054704
0.037833	0.010	-0.077721
0.038000	0.010	-0.044319
0.038167	0.010	-0.036444
0.038333	0.010	-0.033376
0.038500	0.010	-0.021173
0.038667	0.010	-0.033424
0.038833	0.010	-0.026673
0.039000	0.010	-0.043480
0.039167	0.010	-0.024446
0.039333	0.010	-0.033556
0.039500	0.010	-0.041435
0.039667	0.010	-0.069325
0.039833	0.010	-0.023292
0.040000	0.010	-0.037688
0.040167	0.010	-0.034497
0.040333	0.010	-0.050847
0.040500	0.010	-0.034555
0.040667	0.010	-0.051095
0.040833	0.010	-0.049682
0.041000	0.010	-0.045504
0.041167	0.010	-0.045737
0.041333	0.010	-0.018564
0.041500	0.010	-0.052745
0.041667	0.010	-0.021565
0.041833	0.010	-0.049816
0.042000	0.010	-0.045429
0.042167	0.010	-0.058361
0.042333	0.010	-0.023292
0.042500	0.010	-0.010149
0.042667	0.010	-0.005461
0.042833	0.010	0.005222
0.043000	0.010	-0.031268
0.043167	0.010	-0.042981
0.043333	0.010	-0.052841
0.043500	0.010	-0.060646
0.043667	0.010	-0.055393
0.043833	0.010	-0.040277
0.044000	0.010	-0.038296
0.044167	0.010	-0.059538
0.044333	0.010	-0.039804
0.044500	0.010	-0.019151
0.044667	0.010	-0.045871
0.044833	0.010	-0.009351
0.045000	0.010	-0.041612
0.045167	0.010	-0.011557
0.045333	0.010	-0.024165
0.045500	0.010	0.013226
0.045667	0.010	-0.025160
0.045833	0.010	-0.030657
0.046000	0.010	-0.017849
0.046167	0.010	-0.039423
0.046333	0.010	-0.012749
0.046500	0.010	-0.007349
0.046667	0.010	-0.044797
0.046833	0.010	-0.058933
0.047000	0.010	-0.050012
0.047167	0.010	-0.062804
0.047333	0.010	-0.023308
0.047500	0.010	-0.069869
0.047667	0.010	-0.085292
0.047833	0.010	-0.064722
0.048000	0.010	-0.048343
0.048167	0.010	-0.056953
0.048333	0.010	-0.025979
0.048500	0.010	-0.030925
0.048667	0.010	-0.038021
0.048833	0.010	-0.020424
0.049000	0.010	-0.051638
0.049167	0.010	-0.046262
0.049333	0.010	-0.028732
0.049500	0.010	-0.022315
0.049667	0.010	-0.022780
0.049833	0.010	-0.036574
0.050000	0.010	-0.045021
0.050167	0.010	-0.005241
0.050333	0.010	-0.044104
