File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/741.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run2
Injection Number	8
Position	9
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:34:22 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.504593
Signal Max.	93.160667
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-1.206776
0.000167	0.010	-1.202567
0.000333	0.010	-1.227804
0.000667	0.020	-1.209195
0.000833	0.010	-1.239646
0.001000	0.010	-1.233881
0.001167	0.010	-1.215736
0.001333	0.010	-1.198506
0.001500	0.010	-1.175880
0.001667	0.010	-1.196785
0.001833	0.010	-1.203167
0.002000	0.010	-1.198835
0.002167	0.010	-1.198266
0.002333	0.010	-1.198559
0.002500	0.010	-1.198725
0.002667	0.010	-1.206675
0.002833	0.010	-1.212756
0.003000	0.010	-1.208254
0.003167	0.010	-1.215102
0.003333	0.010	-1.205142
0.003500	0.010	-1.220312
0.003667	0.010	-1.194587
0.003833	0.010	-1.210823
0.004000	0.010	-1.213476
0.004167	0.010	-1.218799
0.004333	0.010	-1.220340
0.004500	0.010	-1.181894
0.004667	0.010	-1.195152
0.004833	0.010	-1.181026
0.005000	0.010	-1.200410
0.005167	0.010	-1.216712
0.005333	0.010	-1.200706
0.005500	0.010	-1.196221
0.005667	0.010	-1.190758
0.005833	0.010	-1.203829
0.006000	0.010	-1.214029
0.006167	0.010	-1.220316
0.006333	0.010	-1.212156
0.006500	0.010	-1.200077
0.006667	0.010	-1.182201
0.006833	0.010	-1.195052
0.007000	0.010	-1.180403
0.007167	0.010	-1.197052
0.007333	0.010	-1.209423
0.007500	0.010	-1.211825
0.007667	0.010	-1.204451
0.007833	0.010	-1.208892
0.008000	0.010	-1.211671
0.008167	0.010	-1.202531
0.008333	0.010	-1.190913
0.008500	0.010	-1.187718
0.008667	0.010	-1.213090
0.008833	0.010	-1.179979
0.009000	0.010	-1.200188
0.009167	0.010	-1.175338
0.009333	0.010	-1.181682
0.009500	0.010	-1.194749
0.009667	0.010	-1.194753
0.009833	0.010	-1.202978
0.010000	0.010	-1.190374
0.010167	0.010	-1.218219
0.010333	0.010	-1.207963
0.010500	0.010	-1.204511
0.010667	0.010	-1.230387
0.010833	0.010	-1.229313
0.011000	0.010	-1.219658
0.011167	0.010	-1.200133
0.011333	0.010	-1.183963
0.011500	0.010	-1.206050
0.011667	0.010	-1.212252
0.011833	0.010	-1.210544
0.012000	0.010	-1.204088
0.012167	0.010	-1.228465
0.012333	0.010	-1.215081
0.012500	0.010	-1.197912
0.012667	0.010	-1.193114
0.012833	0.010	-1.169329
0.013000	0.010	-1.186948
0.013167	0.010	-1.217735
0.013333	0.010	-1.232425
0.013500	0.010	-1.207380
0.013667	0.010	-1.212019
0.013833	0.010	-1.215578
0.014000	0.010	-1.197510
0.014167	0.010	-1.219505
0.014333	0.010	-1.229219
0.014500	0.010	-1.248808
0.014667	0.010	-1.225505
0.014833	0.010	-1.240975
0.015000	0.010	-1.227197
0.015167	0.010	-1.210283
0.015333	0.010	-1.201850
0.015500	0.010	-1.168876
0.015667	0.010	-1.198100
0.015833	0.010	-1.182887
0.016000	0.010	-1.192647
0.016167	0.010	-1.213222
0.016333	0.010	-1.206835
0.016500	0.010	-1.199657
0.016667	0.010	-1.187464
0.016833	0.010	-1.176681
0.017000	0.010	-1.181455
0.017167	0.010	-1.184958
0.017333	0.010	-1.207177
0.017500	0.010	-1.200038
0.017667	0.010	-1.195042
0.017833	0.010	-1.206657
0.018000	0.010	-1.198653
0.018167	0.010	-1.187722
0.018333	0.010	-1.189729
0.018500	0.010	-1.188902
0.018667	0.010	-1.191786
0.018833	0.010	-1.207596
0.019000	0.010	-1.208637
0.019167	0.010	-1.213337
0.019333	0.010	-1.191323
0.019500	0.010	-1.202376
0.019667	0.010	-1.212198
