File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/404.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Unknown-run2
Injection Number	5
Position	6
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Unspiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:03:36 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.302696
Signal Max.	174.251190
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-1.231608
0.000167	0.010	-1.263750
0.000333	0.010	-1.232814
0.000667	0.020	-1.231776
0.000833	0.010	-1.228455
0.001000	0.010	-1.252412
0.001167	0.010	-1.226624
0.001333	0.010	-1.230930
0.001500	0.010	-1.238821
0.001667	0.010	-1.245893
0.001833	0.010	-1.233285
0.002000	0.010	-1.227930
0.002167	0.010	-1.222935
0.002333	0.010	-1.243020
0.002500	0.010	-1.226017
0.002667	0.010	-1.220531
0.002833	0.010	-1.232731
0.003000	0.010	-1.239687
0.003167	0.010	-1.226988
0.003333	0.010	-1.255765
0.003500	0.010	-1.250629
0.003667	0.010	-1.234537
0.003833	0.010	-1.230977
0.004000	0.010	-1.242359
0.004167	0.010	-1.228274
0.004333	0.010	-1.244784
0.004500	0.010	-1.234209
0.004667	0.010	-1.219975
0.004833	0.010	-1.216085
0.005000	0.010	-1.236984
0.005167	0.010	-1.213093
0.005333	0.010	-1.231751
0.005500	0.010	-1.233757
0.005667	0.010	-1.226730
0.005833	0.010	-1.243739
0.006000	0.010	-1.222296
0.006167	0.010	-1.244522
0.006333	0.010	-1.216121
0.006500	0.010	-1.202743
0.006667	0.010	-1.200115
0.006833	0.010	-1.212026
0.007000	0.010	-1.234039
0.007167	0.010	-1.220584
0.007333	0.010	-1.248866
0.007500	0.010	-1.266288
0.007667	0.010	-1.249657
0.007833	0.010	-1.244582
0.008000	0.010	-1.231393
0.008167	0.010	-1.255260
0.008333	0.010	-1.258807
0.008500	0.010	-1.227231
0.008667	0.010	-1.219321
