Potential/V	Current/A

0.500	-5.379e-7
0.499	-4.546e-7
0.498	-4.270e-7
0.497	-4.136e-7
0.496	-4.024e-7
0.495	-3.922e-7
0.494	-3.838e-7
0.493	-3.760e-7
0.492	-3.693e-7
0.491	-3.637e-7
0.490	-3.561e-7
0.489	-3.499e-7
0.488	-3.437e-7
0.487	-3.372e-7
0.486	-3.327e-7
0.485	-3.268e-7
0.484	-3.209e-7
0.483	-3.166e-7
0.482	-3.108e-7
0.481	-3.067e-7
0.480	-3.027e-7
0.479	-2.968e-7
0.478	-2.926e-7
0.477	-2.878e-7
0.476	-2.833e-7
0.475	-2.800e-7
0.474	-2.748e-7
0.473	-2.710e-7
0.472	-2.670e-7
0.471	-2.628e-7
0.470	-2.592e-7
0.469	-2.545e-7
0.468	-2.506e-7
0.467	-2.472e-7
0.466	-2.429e-7
0.465	-2.396e-7
0.464	-2.357e-7
0.463	-2.312e-7
0.462	-2.282e-7
0.461	-2.244e-7
0.460	-2.205e-7
0.459	-2.171e-7
0.458	-2.130e-7
0.457	-2.094e-7
0.456	-2.068e-7
0.455	-2.026e-7
0.454	-2.002e-7
0.453	-1.958e-7
0.452	-1.921e-7
0.451	-1.892e-7
0.450	-1.847e-7
0.449	-1.812e-7
0.448	-1.780e-7
0.447	-1.739e-7
0.446	-1.714e-7
0.445	-1.673e-7
0.444	-1.634e-7
0.443	-1.603e-7
0.442	-1.560e-7
0.441	-1.531e-7
0.440	-1.493e-7
0.439	-1.449e-7
0.438	-1.418e-7
0.437	-1.374e-7
0.436	-1.336e-7
0.435	-1.301e-7
0.434	-1.255e-7
0.433	-1.221e-7
0.432	-1.179e-7
0.431	-1.136e-7
0.430	-1.101e-7
0.429	-1.053e-7
0.428	-1.010e-7
0.427	-9.673e-8
0.426	-9.294e-8
0.425	-8.870e-8
0.424	-8.359e-8
0.423	-7.843e-8
0.422	-7.420e-8
0.421	-7.005e-8
0.420	-6.494e-8
0.419	-6.076e-8
0.418	-5.477e-8
0.417	-4.998e-8
0.416	-4.495e-8
0.415	-3.881e-8
0.414	-3.426e-8
0.413	-2.772e-8
0.412	-2.231e-8
0.411	-1.708e-8
0.410	-1.035e-8
0.409	-3.102e-9
0.408	2.376e-9
0.407	8.632e-9
0.406	1.454e-8
0.405	2.213e-8
0.404	3.047e-8
0.403	3.685e-8
0.402	4.474e-8
0.401	5.173e-8
0.400	5.961e-8
0.399	6.768e-8
0.398	7.458e-8
0.397	8.432e-8
0.396	9.257e-8
0.395	1.014e-7
0.394	1.111e-7
0.393	1.199e-7
0.392	1.298e-7
0.391	1.401e-7
0.390	1.496e-7
0.389	1.612e-7
0.388	1.719e-7
0.387	1.831e-7
0.386	1.950e-7
0.385	2.067e-7
0.384	2.195e-7
0.383	2.326e-7
0.382	2.451e-7
0.381	2.587e-7
0.380	2.728e-7
0.379	2.868e-7
0.378	3.033e-7
0.377	3.178e-7
0.376	3.340e-7
0.375	3.513e-7
0.374	3.674e-7
0.373	3.864e-7
0.372	4.047e-7
0.371	4.231e-7
0.370	4.434e-7
0.369	4.636e-7
0.368	4.845e-7
0.367	5.081e-7
0.366	5.291e-7
0.365	5.529e-7
0.364	5.772e-7
0.363	6.017e-7
0.362	6.285e-7
0.361	6.531e-7
0.360	6.808e-7
0.359	7.120e-7
0.358	7.415e-7
0.357	7.722e-7
0.356	8.030e-7
0.355	8.358e-7
0.354	8.729e-7
0.353	9.067e-7
0.352	9.437e-7
0.351	9.815e-7
0.350	1.018e-6
0.349	1.060e-6
0.348	1.102e-6
0.347	1.146e-6
0.346	1.193e-6
0.345	1.233e-6
0.344	1.284e-6
0.343	1.334e-6
0.342	1.384e-6
0.341	1.436e-6
0.340	1.491e-6
0.339	1.547e-6
0.338	1.608e-6
0.337	1.669e-6
0.336	1.733e-6
0.335	1.798e-6
0.334	1.864e-6
