Nov. 15, 2016   11:04:45
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\samplec_0,1.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample C
Note: 

Init E (V) = 0
High E (V) = 1.2
Low E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:
Ep = 0.446V
ip = -2.135e-6A
Ah = -7.987e-7C

Ep = 1.036V
ip = -1.218e-5A
Ah = -6.428e-6C

Segment 2:
Ep = 0.422V
ip = 3.483e-6A
Ah = 2.242e-6C

Potential/V	Current/A

0.000	1.223e-6
0.001	2.217e-7
0.002	-3.690e-7
0.003	-7.307e-7
0.004	-9.876e-7
0.005	-1.172e-6
0.006	-1.339e-6
0.007	-1.470e-6
0.008	-1.581e-6
0.009	-1.686e-6
0.010	-1.763e-6
0.011	-1.847e-6
0.012	-1.923e-6
0.013	-1.987e-6
0.014	-2.055e-6
0.015	-2.106e-6
0.016	-2.162e-6
0.017	-2.214e-6
0.018	-2.258e-6
0.019	-2.304e-6
0.020	-2.345e-6
0.021	-2.387e-6
0.022	-2.425e-6
0.023	-2.465e-6
0.024	-2.500e-6
0.025	-2.537e-6
0.026	-2.576e-6
0.027	-2.606e-6
0.028	-2.640e-6
0.029	-2.660e-6
0.030	-2.692e-6
0.031	-2.728e-6
0.032	-2.751e-6
0.033	-2.785e-6
0.034	-2.808e-6
0.035	-2.833e-6
0.036	-2.863e-6
0.037	-2.882e-6
0.038	-2.910e-6
0.039	-2.942e-6
0.040	-2.962e-6
0.041	-2.996e-6
0.042	-3.012e-6
0.043	-3.031e-6
0.044	-3.058e-6
0.045	-3.068e-6
0.046	-3.103e-6
0.047	-3.119e-6
0.048	-3.138e-6
0.049	-3.165e-6
0.050	-3.179e-6
0.051	-3.206e-6
0.052	-3.227e-6
0.053	-3.241e-6
0.054	-3.265e-6
0.055	-3.283e-6
0.056	-3.302e-6
0.057	-3.322e-6
0.058	-3.336e-6
0.059	-3.354e-6
0.060	-3.374e-6
0.061	-3.392e-6
0.062	-3.408e-6
0.063	-3.430e-6
0.064	-3.446e-6
0.065	-3.465e-6
0.066	-3.481e-6
0.067	-3.496e-6
0.068	-3.517e-6
0.069	-3.527e-6
0.070	-3.541e-6
0.071	-3.564e-6
0.072	-3.572e-6
0.073	-3.597e-6
0.074	-3.607e-6
0.075	-3.619e-6
0.076	-3.641e-6
0.077	-3.651e-6
0.078	-3.670e-6
0.079	-3.682e-6
0.080	-3.690e-6
0.081	-3.712e-6
0.082	-3.717e-6
0.083	-3.727e-6
0.084	-3.743e-6
0.085	-3.746e-6
0.086	-3.767e-6
0.087	-3.774e-6
0.088	-3.781e-6
0.089	-3.799e-6
0.090	-3.806e-6
0.091	-3.824e-6
0.092	-3.838e-6
0.093	-3.842e-6
0.094	-3.856e-6
0.095	-3.865e-6
0.096	-3.879e-6
0.097	-3.887e-6
0.098	-3.894e-6
0.099	-3.914e-6
0.100	-3.925e-6
0.101	-3.933e-6
0.102	-3.945e-6
0.103	-3.955e-6
0.104	-3.965e-6
0.105	-3.978e-6
0.106	-3.988e-6
0.107	-3.992e-6
0.108	-4.007e-6
0.109	-4.011e-6
0.110	-4.021e-6
0.111	-4.038e-6
0.112	-4.040e-6
0.113	-4.054e-6
0.114	-4.059e-6
0.115	-4.066e-6
0.116	-4.088e-6
0.117	-4.085e-6
0.118	-4.101e-6
0.119	-4.110e-6
0.120	-4.109e-6
0.121	-4.129e-6
0.122	-4.131e-6
0.123	-4.142e-6
0.124	-4.158e-6
0.125	-4.155e-6
0.126	-4.172e-6
0.127	-4.178e-6
0.128	-4.184e-6
0.129	-4.196e-6
0.130	-4.200e-6
0.131	-4.213e-6
0.132	-4.221e-6
0.133	-4.224e-6
0.134	-4.238e-6
0.135	-4.242e-6
0.136	-4.251e-6
0.137	-4.261e-6
0.138	-4.268e-6
0.139	-4.276e-6
0.140	-4.284e-6
0.141	-4.294e-6
0.142	-4.300e-6
0.143	-4.314e-6
0.144	-4.318e-6
0.145	-4.326e-6
0.146	-4.334e-6
0.147	-4.339e-6
0.148	-4.351e-6
0.149	-4.353e-6
0.150	-4.361e-6
0.151	-4.377e-6
0.152	-4.375e-6
0.153	-4.392e-6
0.154	-4.400e-6
0.155	-4.404e-6
0.156	-4.423e-6
0.157	-4.417e-6
0.158	-4.432e-6
0.159	-4.443e-6
0.160	-4.439e-6
0.161	-4.459e-6
0.162	-4.459e-6
0.163	-4.468e-6
0.164	-4.481e-6
0.165	-4.478e-6
0.166	-4.496e-6
0.167	-4.504e-6
0.168	-4.507e-6
0.169	-4.520e-6
0.170	-4.520e-6
0.171	-4.536e-6
0.172	-4.543e-6
0.173	-4.543e-6
0.174	-4.558e-6
0.175	-4.563e-6
