Nov. 15, 2016   10:11:20
Chronoamperometry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\ca_cn.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.4
High E (V) = 0.45
Low E (V) = 0.1
Init P/N = P
Step = 2
Pulse Width (sec) = 2.
Sample Interval (s) = 1e-3
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Forward:
Slp = -4.853e-8
Int = 1.719e-7
Cor = -0.69981

Reverse:
Slp = 3.861e-5
Int = 8.526e-6
Cor = 0.99979

Time/sec	Current/A

1.000e-3	-4.526e-5
2.000e-3	-1.993e-5
3.000e-3	-1.176e-5
4.000e-3	-8.279e-6
5.000e-3	-6.385e-6
6.000e-3	-5.205e-6
7.000e-3	-4.411e-6
8.000e-3	-3.842e-6
9.000e-3	-3.431e-6
1.000e-2	-3.056e-6
1.100e-2	-2.763e-6
1.200e-2	-2.555e-6
1.300e-2	-2.367e-6
1.400e-2	-2.195e-6
1.500e-2	-2.052e-6
1.600e-2	-1.925e-6
1.700e-2	-1.805e-6
1.800e-2	-1.727e-6
1.900e-2	-1.642e-6
2.000e-2	-1.555e-6
2.100e-2	-1.480e-6
2.200e-2	-1.423e-6
2.300e-2	-1.361e-6
2.400e-2	-1.311e-6
2.500e-2	-1.274e-6
2.600e-2	-1.213e-6
2.700e-2	-1.152e-6
2.800e-2	-1.128e-6
2.900e-2	-1.088e-6
3.000e-2	-1.044e-6
3.100e-2	-1.024e-6
3.200e-2	-9.828e-7
3.300e-2	-9.410e-7
3.400e-2	-9.221e-7
3.500e-2	-9.020e-7
3.600e-2	-8.644e-7
3.700e-2	-8.532e-7
3.800e-2	-8.140e-7
3.900e-2	-7.927e-7
4.000e-2	-7.877e-7
4.100e-2	-7.645e-7
4.200e-2	-7.462e-7
4.300e-2	-7.234e-7
4.400e-2	-6.818e-7
4.500e-2	-6.931e-7
4.600e-2	-6.659e-7
4.700e-2	-6.581e-7
4.800e-2	-6.417e-7
4.900e-2	-6.304e-7
