Nov. 15, 2016   10:23:11
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\cv_cn_0,075.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample CN Conc : 5e-3M 
Note: 

Init E (V) = 0.5
High E (V) = 0.5
Low E (V) = 0
Init P/N = N
Scan Rate (V/s) = 0.075
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.220V
ip = 2.395e-5A
Ah = 2.075e-5C

Segment 2:
Ep = 0.286V
ip = -2.250e-5A
Ah = -1.897e-5C

Potential/V	Current/A

0.500	-8.561e-7
0.499	-7.555e-7
0.498	-7.268e-7
0.497	-7.099e-7
0.496	-6.973e-7
0.495	-6.833e-7
0.494	-6.725e-7
0.493	-6.636e-7
0.492	-6.536e-7
0.491	-6.463e-7
0.490	-6.368e-7
0.489	-6.277e-7
0.488	-6.216e-7
0.487	-6.133e-7
0.486	-6.075e-7
0.485	-5.999e-7
0.484	-5.914e-7
0.483	-5.869e-7
0.482	-5.803e-7
0.481	-5.743e-7
0.480	-5.682e-7
0.479	-5.607e-7
0.478	-5.563e-7
0.477	-5.513e-7
0.476	-5.449e-7
0.475	-5.391e-7
0.474	-5.325e-7
0.473	-5.276e-7
0.472	-5.235e-7
0.471	-5.175e-7
0.470	-5.121e-7
0.469	-5.060e-7
0.468	-5.004e-7
0.467	-4.978e-7
0.466	-4.919e-7
0.465	-4.860e-7
0.464	-4.805e-7
0.463	-4.749e-7
0.462	-4.716e-7
0.461	-4.667e-7
0.460	-4.599e-7
0.459	-4.561e-7
0.458	-4.511e-7
0.457	-4.464e-7
0.456	-4.427e-7
0.455	-4.361e-7
0.454	-4.313e-7
0.453	-4.267e-7
0.452	-4.215e-7
0.451	-4.185e-7
0.450	-4.114e-7
0.449	-4.059e-7
0.448	-4.022e-7
0.447	-3.980e-7
0.446	-3.935e-7
0.445	-3.875e-7
0.444	-3.811e-7
0.443	-3.775e-7
0.442	-3.737e-7
0.441	-3.697e-7
0.440	-3.644e-7
0.439	-3.572e-7
0.438	-3.535e-7
0.437	-3.488e-7
0.436	-3.430e-7
0.435	-3.378e-7
0.434	-3.315e-7
0.433	-3.260e-7
0.432	-3.222e-7
0.431	-3.163e-7
0.430	-3.104e-7
0.429	-3.038e-7
0.428	-2.975e-7
0.427	-2.942e-7
0.426	-2.876e-7
0.425	-2.802e-7
0.424	-2.746e-7
0.423	-2.679e-7
0.422	-2.627e-7
0.421	-2.567e-7
0.420	-2.474e-7
0.419	-2.419e-7
0.418	-2.355e-7
0.417	-2.297e-7
0.416	-2.240e-7
0.415	-2.143e-7
0.414	-2.074e-7
0.413	-2.002e-7
0.412	-1.928e-7
0.411	-1.865e-7
0.410	-1.752e-7
0.409	-1.660e-7
0.408	-1.606e-7
0.407	-1.523e-7
0.406	-1.445e-7
0.405	-1.337e-7
0.404	-1.231e-7
0.403	-1.169e-7
0.402	-1.071e-7
0.401	-9.720e-8
0.400	-8.685e-8
0.399	-7.546e-8
0.398	-6.584e-8
0.397	-5.562e-8
0.396	-4.349e-8
0.395	-3.327e-8
0.394	-1.918e-8
0.393	-7.975e-9
0.392	1.905e-9
0.391	1.703e-8
0.390	3.097e-8
0.389	4.478e-8
0.388	6.073e-8
0.387	7.286e-8
0.386	8.802e-8
0.385	1.039e-7
0.384	1.216e-7
0.383	1.364e-7
0.382	1.527e-7
0.381	1.693e-7
0.380	1.898e-7
0.379	2.053e-7
0.378	2.238e-7
0.377	2.438e-7
0.376	2.643e-7
0.375	2.889e-7
0.374	3.070e-7
0.373	3.305e-7
0.372	3.545e-7
0.371	3.756e-7
0.370	4.035e-7
0.369	4.297e-7
0.368	4.522e-7
0.367	4.827e-7
0.366	5.090e-7
0.365	5.399e-7
0.364	5.719e-7
0.363	5.990e-7
0.362	6.320e-7
0.361	6.654e-7
0.360	7.008e-7
0.359	7.380e-7
0.358	7.753e-7
0.357	8.115e-7
0.356	8.549e-7
0.355	8.940e-7
0.354	9.385e-7
0.353	9.810e-7
0.352	1.023e-6
0.351	1.073e-6
0.350	1.122e-6
0.349	1.172e-6
0.348	1.219e-6
0.347	1.271e-6
0.346	1.329e-6
0.345	1.387e-6
0.344	1.445e-6
0.343	1.509e-6
0.342	1.569e-6
0.341	1.638e-6
0.340	1.708e-6
0.339	1.776e-6
0.338	1.849e-6
0.337	1.925e-6
0.336	2.000e-6
0.335	2.085e-6
0.334	2.163e-6
0.333	2.250e-6
0.332	2.340e-6
0.331	2.429e-6
0.330	2.527e-6
0.329	2.623e-6
0.328	2.720e-6
0.327	2.826e-6
0.326	2.930e-6
0.325	3.042e-6
0.324	3.157e-6
0.323	3.271e-6
0.322	3.394e-6
0.321	3.519e-6
0.320	3.647e-6
0.319	3.781e-6
0.318	3.912e-6
0.317	4.057e-6
0.316	4.202e-6
0.315	4.346e-6
0.314	4.500e-6
0.313	4.653e-6
0.312	4.818e-6
0.311	4.988e-6
0.310	5.156e-6
0.309	5.330e-6
0.308	5.508e-6
0.307	5.687e-6
0.306	5.880e-6
0.305	6.072e-6
0.304	6.272e-6
0.303	6.476e-6
0.302	6.675e-6
0.301	6.886e-6
0.300	7.110e-6
0.299	7.328e-6
0.298	7.553e-6
0.297	7.776e-6
0.296	8.012e-6
0.295	8.266e-6
0.294	8.506e-6
0.293	8.746e-6
0.292	9.007e-6
0.291	9.260e-6
0.290	9.528e-6
0.289	9.790e-6
0.288	1.006e-5
0.287	1.034e-5
0.286	1.061e-5
0.285	1.090e-5
0.284	1.119e-5
0.283	1.147e-5
0.282	1.177e-5
0.281	1.206e-5
0.280	1.235e-5
0.279	1.266e-5
0.278	1.295e-5
0.277	1.326e-5
0.276	1.358e-5
0.275	1.388e-5
0.274	1.418e-5
0.273	1.449e-5
0.272	1.480e-5
0.271	1.512e-5
0.270	1.542e-5
0.269	1.574e-5
0.268	1.605e-5
0.267	1.636e-5
0.266	1.667e-5
0.265	1.697e-5
0.264	1.727e-5
0.263	1.758e-5
0.262	1.787e-5
0.261	1.818e-5
0.260	1.847e-5
0.259	1.875e-5
0.258	1.905e-5
0.257	1.933e-5
0.256	1.961e-5
0.255	1.989e-5
0.254	2.014e-5
0.253	2.040e-5
0.252	2.066e-5
0.251	2.090e-5
0.250	2.115e-5
0.249	2.138e-5
0.248	2.161e-5
0.247	2.183e-5
0.246	2.204e-5
0.245	2.226e-5
0.244	2.245e-5
0.243	2.264e-5
0.242	2.283e-5
0.241	2.300e-5
0.240	2.316e-5
0.239	2.332e-5
0.238	2.346e-5
0.237	2.361e-5
0.236	2.374e-5
0.235	2.386e-5
0.234	2.398e-5
0.233	2.408e-5
0.232	2.418e-5
0.231	2.427e-5
0.230	2.434e-5
0.229	2.441e-5
0.228	2.447e-5
0.227	2.453e-5
0.226	2.458e-5
0.225	2.461e-5
0.224	2.463e-5
0.223	2.467e-5
0.222	2.466e-5
0.221	2.468e-5
0.220	2.468e-5
0.219	2.466e-5
0.218	2.465e-5
0.217	2.463e-5
0.216	2.460e-5
0.215	2.457e-5
0.214	2.452e-5
0.213	2.448e-5
0.212	2.443e-5
0.211	2.436e-5
0.210	2.430e-5
0.209	2.423e-5
0.208	2.414e-5
0.207	2.406e-5
0.206	2.397e-5
0.205	2.388e-5
0.204	2.379e-5
0.203	2.367e-5
0.202	2.357e-5
0.201	2.346e-5
0.200	2.335e-5
0.199	2.324e-5
0.198	2.312e-5
0.197	2.302e-5
0.196	2.290e-5
0.195	2.278e-5
0.194	2.267e-5
0.193	2.255e-5
0.192	2.243e-5
0.191	2.232e-5
0.190	2.219e-5
0.189	2.207e-5
0.188	2.195e-5
0.187	2.183e-5
0.186	2.171e-5
0.185	2.159e-5
0.184	2.147e-5
0.183	2.135e-5
0.182	2.122e-5
0.181	2.111e-5
0.180	2.099e-5
0.179	2.087e-5
0.178	2.075e-5
0.177	2.063e-5
0.176	2.051e-5
0.175	2.039e-5
0.174	2.027e-5
0.173	2.016e-5
0.172	2.005e-5
0.171	1.993e-5
0.170	1.982e-5
0.169	1.971e-5
0.168	1.960e-5
0.167	1.949e-5
0.166	1.938e-5
0.165	1.927e-5
0.164	1.917e-5
0.163	1.906e-5
0.162	1.896e-5
0.161	1.885e-5
0.160	1.875e-5
0.159	1.865e-5
0.158	1.855e-5
0.157	1.845e-5
0.156	1.836e-5
0.155	1.826e-5
0.154	1.817e-5
0.153	1.807e-5
0.152	1.798e-5
0.151	1.789e-5
0.150	1.779e-5
0.149	1.771e-5
0.148	1.762e-5
0.147	1.753e-5
0.146	1.745e-5
0.145	1.736e-5
0.144	1.728e-5
0.143	1.720e-5
