Potential/V	Current/A

0.000	1.615e-6
0.001	6.350e-7
0.002	4.579e-8
0.003	-3.198e-7
0.004	-5.776e-7
0.005	-7.644e-7
0.006	-9.253e-7
0.007	-1.057e-6
0.008	-1.173e-6
0.009	-1.275e-6
0.010	-1.358e-6
0.011	-1.440e-6
0.012	-1.513e-6
0.013	-1.581e-6
0.014	-1.640e-6
0.015	-1.698e-6
0.016	-1.750e-6
0.017	-1.796e-6
0.018	-1.845e-6
0.019	-1.888e-6
0.020	-1.937e-6
0.021	-1.972e-6
0.022	-2.010e-6
0.023	-2.053e-6
0.024	-2.081e-6
0.025	-2.125e-6
0.026	-2.153e-6
0.027	-2.181e-6
0.028	-2.222e-6
0.029	-2.243e-6
0.030	-2.274e-6
0.031	-2.304e-6
0.032	-2.323e-6
0.033	-2.362e-6
0.034	-2.381e-6
0.035	-2.406e-6
0.036	-2.435e-6
0.037	-2.450e-6
0.038	-2.485e-6
0.039	-2.509e-6
0.040	-2.530e-6
0.041	-2.556e-6
0.042	-2.573e-6
0.043	-2.600e-6
0.044	-2.621e-6
0.045	-2.636e-6
0.046	-2.664e-6
0.047	-2.682e-6
0.048	-2.704e-6
0.049	-2.725e-6
0.050	-2.741e-6
0.051	-2.765e-6
0.052	-2.782e-6
0.053	-2.803e-6
0.054	-2.823e-6
0.055	-2.841e-6
0.056	-2.857e-6
0.057	-2.874e-6
0.058	-2.894e-6
0.059	-2.911e-6
0.060	-2.933e-6
0.061	-2.944e-6
0.062	-2.961e-6
0.063	-2.985e-6
0.064	-2.996e-6
0.065	-3.018e-6
0.066	-3.030e-6
0.067	-3.044e-6
0.068	-3.069e-6
0.069	-3.075e-6
0.070	-3.093e-6
0.071	-3.114e-6
0.072	-3.118e-6
0.073	-3.144e-6
0.074	-3.151e-6
0.075	-3.169e-6
0.076	-3.186e-6
0.077	-3.191e-6
0.078	-3.214e-6
0.079	-3.227e-6
0.080	-3.238e-6
0.081	-3.256e-6
0.082	-3.263e-6
0.083	-3.278e-6
0.084	-3.294e-6
0.085	-3.300e-6
0.086	-3.319e-6
0.087	-3.327e-6
0.088	-3.338e-6
0.089	-3.352e-6
0.090	-3.364e-6
0.091	-3.378e-6
0.092	-3.387e-6
0.093	-3.398e-6
0.094	-3.408e-6
0.095	-3.423e-6
0.096	-3.430e-6
0.097	-3.443e-6
0.098	-3.457e-6
0.099	-3.462e-6
0.100	-3.479e-6
0.101	-3.485e-6
0.102	-3.495e-6
0.103	-3.512e-6
0.104	-3.514e-6
0.105	-3.529e-6
0.106	-3.540e-6
0.107	-3.545e-6
0.108	-3.564e-6
0.109	-3.561e-6
0.110	-3.577e-6
0.111	-3.587e-6
0.112	-3.587e-6
0.113	-3.610e-6
0.114	-3.612e-6
0.115	-3.622e-6
0.116	-3.635e-6
0.117	-3.637e-6
0.118	-3.652e-6
0.119	-3.658e-6
0.120	-3.666e-6
0.121	-3.676e-6
0.122	-3.682e-6
0.123	-3.692e-6
0.124	-3.702e-6
0.125	-3.705e-6
0.126	-3.716e-6
0.127	-3.722e-6
0.128	-3.728e-6
0.129	-3.736e-6
0.130	-3.745e-6
0.131	-3.753e-6
0.132	-3.760e-6
0.133	-3.764e-6
0.134	-3.774e-6
0.135	-3.781e-6
0.136	-3.786e-6
0.137	-3.798e-6
0.138	-3.805e-6
0.139	-3.808e-6
0.140	-3.824e-6
0.141	-3.830e-6
0.142	-3.836e-6
0.143	-3.850e-6
0.144	-3.852e-6
0.145	-3.864e-6
0.146	-3.872e-6
0.147	-3.876e-6
0.148	-3.894e-6
0.149	-3.891e-6
0.150	-3.907e-6
0.151	-3.916e-6
0.152	-3.916e-6
0.153	-3.939e-6
0.154	-3.937e-6
0.155	-3.951e-6
0.156	-3.962e-6
0.157	-3.960e-6
0.158	-3.977e-6
0.159	-3.981e-6
0.160	-3.987e-6
0.161	-4.002e-6
0.162	-3.999e-6
0.163	-4.014e-6
0.164	-4.022e-6
0.165	-4.025e-6
0.166	-4.040e-6
0.167	-4.043e-6
0.168	-4.058e-6
0.169	-4.066e-6
0.170	-4.073e-6
0.171	-4.078e-6
0.172	-4.089e-6
0.173	-4.092e-6
0.174	-4.106e-6
0.175	-4.115e-6
0.176	-4.117e-6
0.177	-4.130e-6
0.178	-4.139e-6
0.179	-4.148e-6
0.180	-4.158e-6
0.181	-4.166e-6
0.182	-4.177e-6
0.183	-4.189e-6
0.184	-4.191e-6
0.185	-4.205e-6
0.186	-4.208e-6
0.187	-4.214e-6
0.188	-4.234e-6
0.189	-4.233e-6
0.190	-4.245e-6
0.191	-4.258e-6
0.192	-4.258e-6
0.193	-4.276e-6
0.194	-4.280e-6
0.195	-4.290e-6
0.196	-4.304e-6
0.197	-4.301e-6
0.198	-4.319e-6
0.199	-4.324e-6
0.200	-4.331e-6
0.201	-4.344e-6
0.202	-4.349e-6
0.203	-4.363e-6
0.204	-4.373e-6
0.205	-4.389e-6
0.206	-4.399e-6
0.207	-4.403e-6
0.208	-4.414e-6
0.209	-4.423e-6
0.210	-4.429e-6
0.211	-4.436e-6
0.212	-4.447e-6
0.213	-4.456e-6
0.214	-4.467e-6
0.215	-4.476e-6
0.216	-4.481e-6
0.217	-4.494e-6
0.218	-4.505e-6
0.219	-4.508e-6
0.220	-4.528e-6
0.221	-4.529e-6
0.222	-4.538e-6
0.223	-4.554e-6
0.224	-4.552e-6
0.225	-4.567e-6
0.226	-4.577e-6
0.227	-4.581e-6
0.228	-4.600e-6
0.229	-4.598e-6
0.230	-4.613e-6
0.231	-4.627e-6
0.232	-4.625e-6
0.233	-4.645e-6
0.234	-4.645e-6
0.235	-4.658e-6
0.236	-4.669e-6
0.237	-4.665e-6
0.238	-4.686e-6
0.239	-4.691e-6
0.240	-4.699e-6
0.241	-4.712e-6
0.242	-4.715e-6
0.243	-4.730e-6
0.244	-4.741e-6
0.245	-4.745e-6
0.246	-4.755e-6
0.247	-4.758e-6
0.248	-4.770e-6
0.249	-4.782e-6
0.250	-4.787e-6
0.251	-4.794e-6
0.252	-4.806e-6
0.253	-4.814e-6
0.254	-4.823e-6
0.255	-4.831e-6
0.256	-4.844e-6
0.257	-4.853e-6
0.258	-4.867e-6
0.259	-4.869e-6
0.260	-4.883e-6
0.261	-4.886e-6
0.262	-4.893e-6
0.263	-4.907e-6
0.264	-4.910e-6
0.265	-4.924e-6
0.266	-4.932e-6
0.267	-4.934e-6
0.268	-4.954e-6
0.269	-4.954e-6
0.270	-4.965e-6
0.271	-4.976e-6
0.272	-4.978e-6
0.273	-4.996e-6
0.274	-4.995e-6
0.275	-5.006e-6
0.276	-5.022e-6
0.277	-5.019e-6
0.278	-5.040e-6
0.279	-5.044e-6
0.280	-5.050e-6
0.281	-5.063e-6
0.282	-5.065e-6
0.283	-5.084e-6
0.284	-5.091e-6
0.285	-5.093e-6
0.286	-5.107e-6
0.287	-5.111e-6
0.288	-5.121e-6
0.289	-5.134e-6
0.290	-5.140e-6
0.291	-5.148e-6
0.292	-5.160e-6
0.293	-5.166e-6
0.294	-5.178e-6
0.295	-5.188e-6
0.296	-5.194e-6
0.297	-5.209e-6
0.298	-5.218e-6
0.299	-5.222e-6
0.300	-5.241e-6
0.301	-5.243e-6
0.302	-5.251e-6
0.303	-5.265e-6
0.304	-5.270e-6
0.305	-5.287e-6
0.306	-5.291e-6
0.307	-5.301e-6
0.308	-5.324e-6
0.309	-5.322e-6
0.310	-5.338e-6
0.311	-5.350e-6
0.312	-5.351e-6
0.313	-5.373e-6
0.314	-5.374e-6
0.315	-5.390e-6
0.316	-5.409e-6
0.317	-5.406e-6
0.318	-5.430e-6
0.319	-5.440e-6
0.320	-5.447e-6
0.321	-5.464e-6
0.322	-5.467e-6
0.323	-5.486e-6
0.324	-5.503e-6
0.325	-5.510e-6
0.326	-5.528e-6
0.327	-5.535e-6
0.328	-5.552e-6
0.329	-5.564e-6
0.330	-5.579e-6
0.331	-5.593e-6
0.332	-5.606e-6
0.333	-5.615e-6
0.334	-5.630e-6
0.335	-5.654e-6
0.336	-5.665e-6
0.337	-5.677e-6
0.338	-5.696e-6
0.339	-5.707e-6
0.340	-5.730e-6
0.341	-5.740e-6
0.342	-5.755e-6
0.343	-5.779e-6
0.344	-5.786e-6
0.345	-5.822e-6
0.346	-5.842e-6
0.347	-5.854e-6
0.348	-5.887e-6
0.349	-5.892e-6
0.350	-5.920e-6
0.351	-5.942e-6
0.352	-5.956e-6
0.353	-5.990e-6
0.354	-6.006e-6
0.355	-6.033e-6
0.356	-6.061e-6
0.357	-6.076e-6
0.358	-6.120e-6
0.359	-6.142e-6
0.360	-6.166e-6
0.361	-6.199e-6
0.362	-6.220e-6
0.363	-6.256e-6
0.364	-6.289e-6
0.365	-6.311e-6
0.366	-6.355e-6
0.367	-6.383e-6
0.368	-6.423e-6
0.369	-6.458e-6
0.370	-6.498e-6
0.371	-6.530e-6
0.372	-6.581e-6
0.373	-6.619e-6
0.374	-6.661e-6
0.375	-6.709e-6
0.376	-6.748e-6
0.377	-6.796e-6
0.378	-6.845e-6
0.379	-6.896e-6
0.380	-6.954e-6
0.381	-7.005e-6
0.382	-7.062e-6
0.383	-7.126e-6
0.384	-7.181e-6
0.385	-7.255e-6
0.386	-7.316e-6
0.387	-7.377e-6
0.388	-7.461e-6
0.389	-7.528e-6
0.390	-7.617e-6
0.391	-7.690e-6
0.392	-7.768e-6
0.393	-7.864e-6
0.394	-7.940e-6
0.395	-8.035e-6
0.396	-8.131e-6
0.397	-8.214e-6
0.398	-8.322e-6
0.399	-8.422e-6
0.400	-8.528e-6
0.401	-8.639e-6
0.402	-8.733e-6
0.403	-8.857e-6
0.404	-8.972e-6
0.405	-9.089e-6
0.406	-9.217e-6
0.407	-9.337e-6
0.408	-9.472e-6
0.409	-9.609e-6
0.410	-9.761e-6
0.411	-9.890e-6
0.412	-1.003e-5
0.413	-1.016e-5
0.414	-1.031e-5
0.415	-1.046e-5
0.416	-1.060e-5
0.417	-1.075e-5
0.418	-1.091e-5
0.419	-1.105e-5
0.420	-1.122e-5
0.421	-1.136e-5
0.422	-1.152e-5
0.423	-1.169e-5
0.424	-1.183e-5
0.425	-1.200e-5
0.426	-1.215e-5
0.427	-1.230e-5
0.428	-1.246e-5
0.429	-1.259e-5
0.430	-1.275e-5
0.431	-1.290e-5
0.432	-1.303e-5
0.433	-1.318e-5
0.434	-1.330e-5
0.435	-1.344e-5
0.436	-1.357e-5
0.437	-1.368e-5
0.438	-1.381e-5
0.439	-1.391e-5
0.440	-1.402e-5
0.441	-1.412e-5
0.442	-1.419e-5
0.443	-1.428e-5
0.444	-1.436e-5
0.445	-1.443e-5
0.446	-1.449e-5
0.447	-1.453e-5
0.448	-1.459e-5
0.449	-1.462e-5
0.450	-1.465e-5
0.451	-1.466e-5
0.452	-1.468e-5
0.453	-1.468e-5
0.454	-1.468e-5
0.455	-1.467e-5
0.456	-1.463e-5
0.457	-1.462e-5
0.458	-1.460e-5
0.459	-1.454e-5
0.460	-1.450e-5
0.461	-1.445e-5
0.462	-1.439e-5
0.463	-1.434e-5
0.464	-1.425e-5
0.465	-1.419e-5
0.466	-1.410e-5
0.467	-1.401e-5
0.468	-1.393e-5
0.469	-1.383e-5
0.470	-1.374e-5
0.471	-1.365e-5
0.472	-1.354e-5
0.473	-1.345e-5
0.474	-1.334e-5
0.475	-1.324e-5
0.476	-1.314e-5
0.477	-1.302e-5
0.478	-1.293e-5
0.479	-1.281e-5
0.480	-1.271e-5
0.481	-1.261e-5
0.482	-1.249e-5
0.483	-1.239e-5
0.484	-1.229e-5
0.485	-1.217e-5
0.486	-1.208e-5
0.487	-1.197e-5
0.488	-1.188e-5
