File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/876.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1 mL Std
Injection Number	1
Position	1
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:21:42 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.049907
Signal Max.	8.835216
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-0.014106
0.000167	0.010	-0.009026
0.000333	0.010	-0.015953
0.000667	0.020	-0.004802
0.000833	0.010	0.021440
0.001000	0.010	-0.009173
0.001167	0.010	-0.023324
0.001333	0.010	-0.002829
0.001500	0.010	-0.008358
0.001667	0.010	0.011562
0.001833	0.010	0.024407
0.002000	0.010	0.016133
0.002167	0.010	-0.024178
0.002333	0.010	0.023091
0.002500	0.010	-0.011753
0.002667	0.010	-0.016247
0.002833	0.010	-0.020918
0.003000	0.010	-0.003520
0.003167	0.010	-0.004470
0.003333	0.010	-0.012592
0.003500	0.010	-0.011041
0.003667	0.010	0.005896
0.003833	0.010	-0.004878
0.004000	0.010	-0.011967
0.004167	0.010	-0.016652
0.004333	0.010	0.003458
0.004500	0.010	-0.024786
0.004667	0.010	-0.026411
0.004833	0.010	-0.027429
0.005000	0.010	-0.026713
0.005167	0.010	-0.011030
0.005333	0.010	0.001534
0.005500	0.010	0.000222
0.005667	0.010	0.004998
0.005833	0.010	-0.005937
0.006000	0.010	-0.021873
0.006167	0.010	-0.009818
0.006333	0.010	-0.025387
0.006500	0.010	-0.005374
0.006667	0.010	-0.036065
0.006833	0.010	-0.024629
0.007000	0.010	-0.044344
0.007167	0.010	-0.001401
0.007333	0.010	0.010666
0.007500	0.010	0.019696
0.007667	0.010	-0.019199
0.007833	0.010	-0.015873
0.008000	0.010	-0.009616
0.008167	0.010	0.004644
0.008333	0.010	-0.009655
0.008500	0.010	-0.015424
0.008667	0.010	-0.018154
0.008833	0.010	0.016396
0.009000	0.010	0.016171
0.009167	0.010	0.010236
0.009333	0.010	0.013405
0.009500	0.010	0.007743
0.009667	0.010	-0.015171
0.009833	0.010	-0.020717
0.010000	0.010	-0.006953
0.010167	0.010	-0.006586
0.010333	0.010	0.012110
0.010500	0.010	-0.020713
