File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/652.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run1
Injection Number	7
Position	8
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:23:16 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.471875
Signal Max.	92.659279
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	-0.664582
0.000167	0.010	-0.669612
0.000333	0.010	-0.650717
0.000667	0.020	-0.664140
0.000833	0.010	-0.618834
0.001000	0.010	-0.641892
0.001167	0.010	-0.637938
0.001333	0.010	-0.630741
0.001500	0.010	-0.632571
0.001667	0.010	-0.616318
0.001833	0.010	-0.582667
0.002000	0.010	-0.570775
0.002167	0.010	-0.615939
0.002333	0.010	-0.640523
0.002500	0.010	-0.633383
0.002667	0.010	-0.616635
0.002833	0.010	-0.640085
0.003000	0.010	-0.613156
0.003167	0.010	-0.642936
0.003333	0.010	-0.644455
0.003500	0.010	-0.648701
0.003667	0.010	-0.631651
0.003833	0.010	-0.641618
0.004000	0.010	-0.647431
0.004167	0.010	-0.632096
0.004333	0.010	-0.612600
0.004500	0.010	-0.628052
0.004667	0.010	-0.657878
0.004833	0.010	-0.647803
0.005000	0.010	-0.599499
0.005167	0.010	-0.606866
0.005333	0.010	-0.616204
0.005500	0.010	-0.623482
0.005667	0.010	-0.624167
0.005833	0.010	-0.618437
0.006000	0.010	-0.583515
0.006167	0.010	-0.594075
0.006333	0.010	-0.627766
0.006500	0.010	-0.615858
0.006667	0.010	-0.610646
0.006833	0.010	-0.606717
0.007000	0.010	-0.607378
0.007167	0.010	-0.614616
0.007333	0.010	-0.638248
0.007500	0.010	-0.609210
0.007667	0.010	-0.629387
0.007833	0.010	-0.638787
0.008000	0.010	-0.629712
0.008167	0.010	-0.611600
0.008333	0.010	-0.597483
0.008500	0.010	-0.652063
0.008667	0.010	-0.655372
0.008833	0.010	-0.651114
0.009000	0.010	-0.653112
0.009167	0.010	-0.648210
0.009333	0.010	-0.644196
0.009500	0.010	-0.625550
0.009667	0.010	-0.624142
0.009833	0.010	-0.635583
0.010000	0.010	-0.646656
0.010167	0.010	-0.655427
0.010333	0.010	-0.638050
0.010500	0.010	-0.632162
0.010667	0.010	-0.633298
0.010833	0.010	-0.654131
0.011000	0.010	-0.645919
0.011167	0.010	-0.666604
0.011333	0.010	-0.626855
0.011500	0.010	-0.647115
0.011667	0.010	-0.640464
0.011833	0.010	-0.651292
0.012000	0.010	-0.659473
0.012167	0.010	-0.645725
0.012333	0.010	-0.624404
0.012500	0.010	-0.618358
0.012667	0.010	-0.605815
0.012833	0.010	-0.637788
0.013000	0.010	-0.625025
0.013167	0.010	-0.619588
0.013333	0.010	-0.630239
