Time/sec	Current/A

2.000e+0	1.397e-7
2.001e+0	9.496e-4
2.002e+0	1.008e-3
2.003e+0	8.921e-4
2.004e+0	7.144e-4
2.005e+0	6.005e-4
2.006e+0	5.240e-4
2.007e+0	4.690e-4
2.008e+0	4.271e-4
2.009e+0	3.938e-4
2.010e+0	3.667e-4
2.011e+0	3.440e-4
2.012e+0	3.247e-4
2.013e+0	3.080e-4
2.014e+0	2.933e-4
2.015e+0	2.803e-4
2.016e+0	2.687e-4
2.017e+0	2.583e-4
2.018e+0	2.489e-4
2.019e+0	2.403e-4
2.020e+0	2.325e-4
2.021e+0	2.254e-4
2.022e+0	2.188e-4
2.023e+0	2.127e-4
2.024e+0	2.071e-4
2.025e+0	2.019e-4
2.026e+0	1.971e-4
2.027e+0	1.926e-4
2.028e+0	1.884e-4
2.029e+0	1.844e-4
2.030e+0	1.807e-4
2.031e+0	1.771e-4
2.032e+0	1.738e-4
2.033e+0	1.707e-4
2.034e+0	1.677e-4
2.035e+0	1.649e-4
2.036e+0	1.622e-4
2.037e+0	1.597e-4
2.038e+0	1.572e-4
2.039e+0	1.548e-4
2.040e+0	1.526e-4
2.041e+0	1.505e-4
2.042e+0	1.484e-4
2.043e+0	1.464e-4
2.044e+0	1.445e-4
2.045e+0	1.427e-4
2.046e+0	1.409e-4
2.047e+0	1.392e-4
2.048e+0	1.376e-4
2.049e+0	1.360e-4
2.050e+0	1.345e-4
2.051e+0	1.330e-4
2.052e+0	1.315e-4
2.053e+0	1.302e-4
2.054e+0	1.288e-4
2.055e+0	1.275e-4
2.056e+0	1.262e-4
2.057e+0	1.250e-4
2.058e+0	1.238e-4
2.059e+0	1.226e-4
2.060e+0	1.215e-4
2.061e+0	1.204e-4
2.062e+0	1.193e-4
2.063e+0	1.183e-4
2.064e+0	1.173e-4
2.065e+0	1.163e-4
2.066e+0	1.153e-4
2.067e+0	1.144e-4
2.068e+0	1.134e-4
2.069e+0	1.125e-4
2.070e+0	1.117e-4
2.071e+0	1.108e-4
2.072e+0	1.099e-4
2.073e+0	1.091e-4
2.074e+0	1.083e-4
2.075e+0	1.075e-4
2.076e+0	1.067e-4
2.077e+0	1.060e-4
2.078e+0	1.053e-4
2.079e+0	1.046e-4
2.080e+0	1.039e-4
2.081e+0	1.032e-4
2.082e+0	1.025e-4
2.083e+0	1.018e-4
2.084e+0	1.012e-4
2.085e+0	1.005e-4
2.086e+0	9.986e-5
2.087e+0	9.927e-5
2.088e+0	9.865e-5
2.089e+0	9.806e-5
2.090e+0	9.747e-5
2.091e+0	9.690e-5
2.092e+0	9.633e-5
2.093e+0	9.577e-5
2.094e+0	9.523e-5
2.095e+0	9.467e-5
2.096e+0	9.416e-5
2.097e+0	9.361e-5
2.098e+0	9.311e-5
2.099e+0	9.262e-5
2.100e+0	9.212e-5
2.101e+0	9.165e-5
2.102e+0	9.114e-5
2.103e+0	9.069e-5
2.104e+0	9.024e-5
2.105e+0	8.977e-5
2.106e+0	8.931e-5
2.107e+0	8.888e-5
2.108e+0	8.842e-5
2.109e+0	8.798e-5
2.110e+0	8.757e-5
2.111e+0	8.716e-5
2.112e+0	8.673e-5
2.113e+0	8.632e-5
2.114e+0	8.593e-5
2.115e+0	8.551e-5
2.116e+0	8.513e-5
2.117e+0	8.476e-5
2.118e+0	8.437e-5
2.119e+0	8.398e-5
2.120e+0	8.363e-5
2.121e+0	8.324e-5
2.122e+0	8.288e-5
2.123e+0	8.253e-5
2.124e+0	8.217e-5
2.125e+0	8.181e-5
2.126e+0	8.147e-5
2.127e+0	8.114e-5
2.128e+0	8.083e-5
2.129e+0	8.048e-5
2.130e+0	8.014e-5
2.131e+0	7.983e-5
2.132e+0	7.951e-5
2.133e+0	7.919e-5
2.134e+0	7.887e-5
2.135e+0	7.855e-5
2.136e+0	7.824e-5
2.137e+0	7.794e-5
2.138e+0	7.765e-5
2.139e+0	7.736e-5
2.140e+0	7.705e-5
2.141e+0	7.676e-5
2.142e+0	7.648e-5
2.143e+0	7.621e-5
2.144e+0	7.593e-5
2.145e+0	7.564e-5
2.146e+0	7.538e-5
2.147e+0	7.511e-5
2.148e+0	7.484e-5
2.149e+0	7.459e-5
2.150e+0	7.434e-5
2.151e+0	7.407e-5
2.152e+0	7.381e-5
2.153e+0	7.355e-5
2.154e+0	7.330e-5
2.155e+0	7.306e-5
2.156e+0	7.281e-5
2.157e+0	7.256e-5
2.158e+0	7.231e-5
2.159e+0	7.207e-5
2.160e+0	7.186e-5
2.161e+0	7.163e-5
2.162e+0	7.138e-5
2.163e+0	7.114e-5
2.164e+0	7.090e-5
2.165e+0	7.067e-5
2.166e+0	7.045e-5
2.167e+0	7.024e-5
2.168e+0	7.002e-5
2.169e+0	6.978e-5
2.170e+0	6.958e-5
2.171e+0	6.936e-5
2.172e+0	6.915e-5
2.173e+0	6.892e-5
2.174e+0	6.872e-5
2.175e+0	6.852e-5
2.176e+0	6.832e-5
2.177e+0	6.811e-5
2.178e+0	6.791e-5
2.179e+0	6.771e-5
2.180e+0	6.751e-5
2.181e+0	6.731e-5
2.182e+0	6.711e-5
2.183e+0	6.693e-5
2.184e+0	6.675e-5
2.185e+0	6.654e-5
2.186e+0	6.635e-5
2.187e+0	6.619e-5
2.188e+0	6.598e-5
2.189e+0	6.580e-5
2.190e+0	6.560e-5
2.191e+0	6.542e-5
2.192e+0	6.525e-5
2.193e+0	6.507e-5
2.194e+0	6.491e-5
2.195e+0	6.475e-5
2.196e+0	6.454e-5
2.197e+0	6.437e-5
2.198e+0	6.420e-5
2.199e+0	6.404e-5
2.200e+0	6.387e-5
2.201e+0	6.370e-5
2.202e+0	6.351e-5
2.203e+0	6.335e-5
2.204e+0	6.320e-5
2.205e+0	6.302e-5
2.206e+0	6.285e-5
2.207e+0	6.269e-5
2.208e+0	6.255e-5
2.209e+0	6.237e-5
2.210e+0	6.222e-5
2.211e+0	6.209e-5
2.212e+0	6.190e-5
2.213e+0	6.176e-5
2.214e+0	6.160e-5
2.215e+0	6.146e-5
2.216e+0	6.130e-5
2.217e+0	6.115e-5
2.218e+0	6.102e-5
2.219e+0	6.085e-5
2.220e+0	6.073e-5
2.221e+0	6.058e-5
2.222e+0	6.043e-5
2.223e+0	6.028e-5
2.224e+0	6.015e-5
2.225e+0	6.001e-5
2.226e+0	5.987e-5
2.227e+0	5.977e-5
2.228e+0	5.961e-5
2.229e+0	5.946e-5
2.230e+0	5.932e-5
2.231e+0	5.921e-5
2.232e+0	5.909e-5
2.233e+0	5.895e-5
2.234e+0	5.882e-5
2.235e+0	5.870e-5
2.236e+0	5.854e-5
2.237e+0	5.842e-5
2.238e+0	5.828e-5
2.239e+0	5.815e-5
2.240e+0	5.803e-5
2.241e+0	5.790e-5
2.242e+0	5.775e-5
2.243e+0	5.765e-5
2.244e+0	5.752e-5
2.245e+0	5.738e-5
2.246e+0	5.727e-5
2.247e+0	5.714e-5
2.248e+0	5.703e-5
2.249e+0	5.691e-5
2.250e+0	5.679e-5
2.251e+0	5.668e-5
2.252e+0	5.654e-5
2.253e+0	5.642e-5
2.254e+0	5.631e-5
2.255e+0	5.617e-5
2.256e+0	5.608e-5
2.257e+0	5.595e-5
2.258e+0	5.583e-5
2.259e+0	5.572e-5
2.260e+0	5.560e-5
2.261e+0	5.549e-5
2.262e+0	5.536e-5
2.263e+0	5.524e-5
