Nov. 15, 2016   10:14:14
Cyclic Voltammetry
File: c:\users\public\desktop\studentdata\fall 2016\alena\group b\cv_cn_0,1.txt
Data Source:  Experiment
Instrument Model:  CHI630E
Header: Sample Conc: 5e-3M Scan rate = 0.1 V/s
Note: 

Init E (V) = 0.5
High E (V) = 0.5
Low E (V) = 0
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.220V
ip = 2.812e-5A
Ah = 1.809e-5C

Segment 2:
Ep = 0.286V
ip = -2.524e-5A
Ah = -1.597e-5C

Potential/V	Current/A

0.500	-1.146e-7
0.499	3.527e-8
0.498	8.080e-8
0.497	1.081e-7
0.496	1.203e-7
0.495	1.336e-7
0.494	1.462e-7
0.493	1.539e-7
0.492	1.670e-7
0.491	1.722e-7
0.490	1.814e-7
0.489	1.897e-7
0.488	1.933e-7
0.487	2.038e-7
0.486	2.068e-7
0.485	2.130e-7
0.484	2.211e-7
0.483	2.220e-7
0.482	2.311e-7
0.481	2.339e-7
0.480	2.385e-7
0.479	2.456e-7
0.478	2.461e-7
0.477	2.544e-7
0.476	2.583e-7
0.475	2.616e-7
0.474	2.677e-7
0.473	2.690e-7
0.472	2.749e-7
0.471	2.783e-7
0.470	2.822e-7
0.469	2.871e-7
0.468	2.900e-7
0.467	2.945e-7
0.466	2.972e-7
0.465	3.003e-7
0.464	3.052e-7
0.463	3.079e-7
0.462	3.139e-7
0.461	3.164e-7
0.460	3.209e-7
0.459	3.244e-7
0.458	3.264e-7
0.457	3.329e-7
0.456	3.337e-7
0.455	3.396e-7
0.454	3.434e-7
0.453	3.445e-7
0.452	3.522e-7
0.451	3.523e-7
0.450	3.573e-7
0.449	3.617e-7
0.448	3.630e-7
0.447	3.705e-7
0.446	3.713e-7
0.445	3.761e-7
0.444	3.820e-7
0.443	3.813e-7
0.442	3.909e-7
0.441	3.914e-7
0.440	3.950e-7
0.439	4.016e-7
0.438	4.023e-7
0.437	4.098e-7
0.436	4.126e-7
0.435	4.155e-7
0.434	4.223e-7
0.433	4.265e-7
0.432	4.327e-7
0.431	4.358e-7
0.430	4.401e-7
0.429	4.463e-7
0.428	4.493e-7
0.427	4.562e-7
0.426	4.603e-7
0.425	4.670e-7
0.424	4.723e-7
0.423	4.761e-7
0.422	4.839e-7
0.421	4.876e-7
0.420	4.945e-7
0.419	5.004e-7
0.418	5.042e-7
0.417	5.138e-7
0.416	5.176e-7
0.415	5.265e-7
0.414	5.323e-7
0.413	5.379e-7
0.412	5.492e-7
0.411	5.528e-7
0.410	5.640e-7
0.409	5.731e-7
0.408	5.766e-7
0.407	5.892e-7
0.406	5.932e-7
0.405	6.033e-7
0.404	6.138e-7
0.403	6.193e-7
0.402	6.323e-7
0.401	6.397e-7
0.400	6.509e-7
0.399	6.632e-7
0.398	6.702e-7
0.397	6.850e-7
0.396	6.950e-7
0.395	7.058e-7
0.394	7.198e-7
0.393	7.300e-7
0.392	7.456e-7
0.391	7.568e-7
0.390	7.698e-7
0.389	7.871e-7
0.388	8.002e-7
0.387	8.181e-7
0.386	8.332e-7
0.385	8.505e-7
0.384	8.687e-7
0.383	8.849e-7
0.382	9.036e-7
0.381	9.214e-7
0.380	9.425e-7
0.379	9.617e-7
0.378	9.819e-7
