Potential/V	Current/A

0.000	1.147e-6
0.001	2.432e-7
0.002	-3.047e-7
0.003	-6.427e-7
0.004	-8.958e-7
0.005	-1.080e-6
0.006	-1.241e-6
0.007	-1.373e-6
0.008	-1.480e-6
0.009	-1.596e-6
0.010	-1.677e-6
0.011	-1.756e-6
0.012	-1.835e-6
0.013	-1.897e-6
0.014	-1.969e-6
0.015	-2.026e-6
0.016	-2.075e-6
0.017	-2.131e-6
0.018	-2.175e-6
0.019	-2.226e-6
0.020	-2.270e-6
0.021	-2.306e-6
0.022	-2.350e-6
0.023	-2.387e-6
0.024	-2.425e-6
0.025	-2.462e-6
0.026	-2.495e-6
0.027	-2.531e-6
0.028	-2.561e-6
0.029	-2.593e-6
0.030	-2.625e-6
0.031	-2.653e-6
0.032	-2.681e-6
0.033	-2.708e-6
0.034	-2.737e-6
0.035	-2.761e-6
0.036	-2.789e-6
0.037	-2.810e-6
0.038	-2.834e-6
0.039	-2.868e-6
0.040	-2.882e-6
0.041	-2.909e-6
0.042	-2.931e-6
0.043	-2.951e-6
0.044	-2.984e-6
0.045	-2.996e-6
0.046	-3.018e-6
0.047	-3.042e-6
0.048	-3.054e-6
0.049	-3.086e-6
0.050	-3.100e-6
0.051	-3.125e-6
0.052	-3.146e-6
0.053	-3.159e-6
0.054	-3.186e-6
0.055	-3.204e-6
0.056	-3.215e-6
0.057	-3.239e-6
0.058	-3.247e-6
0.059	-3.273e-6
0.060	-3.293e-6
0.061	-3.304e-6
0.062	-3.326e-6
0.063	-3.339e-6
0.064	-3.359e-6
0.065	-3.377e-6
0.066	-3.386e-6
0.067	-3.410e-6
0.068	-3.424e-6
0.069	-3.438e-6
0.070	-3.455e-6
0.071	-3.470e-6
0.072	-3.486e-6
0.073	-3.499e-6
0.074	-3.519e-6
0.075	-3.528e-6
0.076	-3.548e-6
0.077	-3.560e-6
0.078	-3.571e-6
0.079	-3.593e-6
0.080	-3.603e-6
0.081	-3.617e-6
0.082	-3.629e-6
0.083	-3.635e-6
0.084	-3.660e-6
0.085	-3.663e-6
0.086	-3.679e-6
0.087	-3.692e-6
0.088	-3.696e-6
0.089	-3.716e-6
0.090	-3.722e-6
0.091	-3.731e-6
0.092	-3.742e-6
0.093	-3.747e-6
0.094	-3.763e-6
0.095	-3.770e-6
0.096	-3.777e-6
0.097	-3.790e-6
0.098	-3.793e-6
0.099	-3.813e-6
0.100	-3.822e-6
0.101	-3.827e-6
0.102	-3.844e-6
0.103	-3.851e-6
0.104	-3.865e-6
0.105	-3.876e-6
0.106	-3.882e-6
0.107	-3.893e-6
0.108	-3.903e-6
0.109	-3.910e-6
0.110	-3.921e-6
0.111	-3.933e-6
0.112	-3.939e-6
0.113	-3.947e-6
0.114	-3.958e-6
0.115	-3.969e-6
0.116	-3.979e-6
0.117	-3.983e-6
0.118	-3.990e-6
0.119	-4.007e-6
0.120	-4.007e-6
0.121	-4.019e-6
0.122	-4.028e-6
0.123	-4.031e-6
0.124	-4.050e-6
0.125	-4.052e-6
0.126	-4.063e-6
0.127	-4.072e-6
0.128	-4.073e-6
0.129	-4.095e-6
0.130	-4.094e-6
0.131	-4.104e-6
0.132	-4.116e-6
0.133	-4.115e-6
0.134	-4.129e-6
0.135	-4.136e-6
0.136	-4.140e-6
0.137	-4.154e-6
0.138	-4.155e-6
0.139	-4.169e-6
0.140	-4.178e-6
0.141	-4.180e-6
0.142	-4.194e-6
0.143	-4.198e-6
0.144	-4.209e-6
0.145	-4.215e-6
0.146	-4.219e-6
0.147	-4.229e-6
0.148	-4.238e-6
0.149	-4.245e-6
0.150	-4.253e-6
0.151	-4.261e-6
0.152	-4.268e-6
0.153	-4.277e-6
0.154	-4.290e-6
0.155	-4.292e-6
0.156	-4.303e-6
0.157	-4.310e-6
0.158	-4.315e-6
0.159	-4.324e-6
0.160	-4.329e-6
0.161	-4.338e-6
0.162	-4.343e-6
0.163	-4.352e-6
0.164	-4.365e-6
0.165	-4.363e-6
0.166	-4.377e-6
0.167	-4.388e-6
0.168	-4.387e-6
0.169	-4.406e-6
0.170	-4.406e-6
0.171	-4.412e-6
0.172	-4.427e-6
0.173	-4.424e-6
0.174	-4.444e-6
0.175	-4.445e-6
0.176	-4.450e-6
0.177	-4.465e-6
0.178	-4.466e-6
0.179	-4.481e-6
0.180	-4.489e-6
0.181	-4.492e-6
0.182	-4.507e-6
0.183	-4.509e-6
0.184	-4.517e-6
0.185	-4.526e-6
