Buret Reading,pH,Total Vol. NaOH Added,dpH / dvol,Average Volume,d2pH / dvol2,Average Volume
5.7,1.92,0,,,,
7.37,1.99,1.67,0.041916168,0.835,,
8.4,2.03,2.7,0.038834951,2.185,-0.002282382,1.51
9.32,2.08,3.62,0.054347826,3.16,0.015910641,2.6725
10.41,2.13,4.71,0.04587156,4.165,-0.008434096,3.6625
11.6,2.21,5.9,0.067226891,5.305,0.018732747,4.735
12.42,2.27,6.72,0.073170732,6.31,0.00591427,5.8075
13.16,2.32,7.46,0.067567568,7.09,-0.007183544,6.7
14.5,2.45,8.8,0.097014925,8.13,0.028314767,7.61
15.02,2.52,9.32,0.134615385,9.06,0.040430601,8.595
16.38,2.68,10.68,0.117647059,10,-0.01805141,9.53
16.62,2.74,10.92,0.25,10.8,0.165441176,10.4
17.1,2.84,11.4,0.208333333,11.16,-0.115740741,10.98
17.57,2.96,11.87,0.255319149,11.635,0.098917507,11.3975
17.9,3.07,12.2,0.333333333,12.035,0.195035461,11.835
18.51,3.38,12.81,0.508196721,12.505,0.372049762,12.27
18.71,3.52,13.01,0.7,12.91,0.473588342,12.7075
18.9,3.82,13.2,1.578947368,13.105,4.507422402,13.0075
19.12,4.3,13.42,2.181818182,13.31,2.940833236,13.2075
19.2,5.08,13.5,9.75,13.46,50.45454545,13.385
19.28,5.27,13.58,2.375,13.54,-92.1875,13.5
19.3,5.4,13.6,6.5,13.59,82.5,13.565
19.4,5.59,13.7,1.9,13.65,-76.66666667,13.62
19.5,5.72,13.8,1.3,13.75,-6,13.7
19.54,5.8,13.84,2,13.82,10,13.785
19.65,5.91,13.95,1,13.895,-13.33333333,13.8575
19.8,6.04,14.1,0.866666667,14.025,-1.025641026,13.96
19.95,6.15,14.25,0.733333333,14.175,-0.888888889,14.1
20.15,6.27,14.45,0.6,14.35,-0.761904762,14.2625
20.28,6.34,14.58,0.538461538,14.515,-0.372960373,14.4325
20.5,6.45,14.8,0.5,14.69,-0.21978022,14.6025
20.8,6.56,15.1,0.366666667,14.95,-0.512820513,14.82
21.11,6.67,15.41,0.35483871,15.255,-0.038780187,15.1025
21.95,6.92,16.25,0.297619048,15.83,-0.099512456,15.5425
23,7.22,17.3,0.285714286,16.775,-0.012597632,16.3025
23.5,7.37,17.8,0.3,17.55,0.01843318,17.1625
23.99,7.54,18.29,0.346938776,18.045,0.094825809,17.7975
24.48,7.77,18.78,0.469387755,18.535,0.249895877,18.29
25,8.2,19.3,0.826923077,19.04,0.707990736,18.7875
25.48,9.65,19.78,3.020833333,19.54,4.387820513,19.29
25.6,9.95,19.9,2.5,19.84,-1.736111111,19.69
25.71,10.19,20.01,2.181818182,19.955,-2.766798419,19.8975
25.82,10.32,20.12,1.181818182,20.065,-9.090909091,20.01
25.94,10.41,20.24,0.75,20.18,-3.754940711,20.1225
26.04,10.51,20.34,1,20.29,2.272727273,20.235
26.21,10.62,20.51,0.647058824,20.425,-2.614379085,20.3575
26.55,10.79,20.85,0.5,20.68,-0.576701269,20.5525
27.34,11.03,21.64,0.303797468,21.245,-0.347261118,20.9625
28.5,11.23,22.8,0.172413793,22.22,-0.134752487,21.7325
29.55,11.36,23.85,0.123809524,23.325,-0.043985764,22.7725
31.13,11.5,25.43,0.088607595,24.64,-0.026769528,23.9825
32.61,11.6,26.91,0.067567568,26.17,-0.013751652,25.405
34.03,11.66,28.33,0.042253521,27.62,-0.017457963,26.895
35.54,11.73,29.84,0.046357616,29.085,0.00280143,28.3525
