etc_code,etc_name,status,beds_open,partner_org,latitude,longitude,lab_present,country_name
GIN_0011,Macenta,Open,70,FRENCH RED CROSS,8.541,-9.471,Y,Guinea
GIN_0010,Gueckedou,Open,100,MSF,8.562,-10.133,Y,Guinea
GIN_0001,Conakry Donka Hospital,Open,70,MSF,9.535,-13.683,Y,Guinea
GIN_0003,Coyah,Under Construction,0,,9.73,-13.421,N,Guinea
GIN_0009,Beyla,Under Construction,0,WAHA,8.69,-8.648,N,Guinea
GIN_0007,Nzerekore,Open,0,ALIMA,7.756,-8.82,N,Guinea
GIN_0054,Kerouane,Under Construction,0,French Red Cross,9.2741,-9.00326,N,Guinea
GIN_0058,Wonkifong,Under Construction,0,,9.730112,-13.42081,N,Guinea
GIN_0059,Kankan,Under Construction,0,MSF,10.383,-9.305,N,Guinea
LBR_0001,Barclayville,Under Construction,0,"PAE, Aspen",4.67654149,-8.23489495,N,Liberia
LBR_0002,Bopulu,Under Construction,0,"PAE, Aspen",7.06390178,-10.4906908,N,Liberia
LBR_0003,Buchanan,Open,0,IOM,5.88810337,-10.03322255,N,Liberia
LBR_0026,Tappita,Under Construction,0,"Heart to Heart, PAE",6.4899591,-8.85999291,N,Liberia
LBR_0010,Greenville,Under Construction,0,"PAE, MSB",5.498,-8.66,N,Liberia
LBR_0011,Harper,Under Construction,0,"Partners in Health, PAE",4.39341051,-7.69252002,N,Liberia
LBR_0006,Fish Town,Under Construction,0,ARC,5.19639,-7.876,N,Liberia
LBR_0025,Sinje,Open,50,IOM,6.81605455,-11.13382627,N,Liberia
LBR_0030,Zwedru,Open,0,"Partners in Health, PAE",6.06495705,-8.1380602,N,Liberia
LBR_0028,Voinjama,Under Construction,0,"WAHA, GOAL, PAE, Aspen",8.41658363,-9.74996812,N,Liberia
LBR_0012,JFK hospital,Closed,0,"MoH, WHO",6.28723,-10.77325,N,Liberia
LBR_0021,SKD 1,Under Construction,0,IRC,6.25675606,-10.70045594,N,Liberia
LBR_0022,SKD 2,Open,50,"German RC, German Armed Forces",6.25744595,-10.7005257,N,Liberia
LBR_0017,Congo Town 2 (old MoD 2),Closed,0,MBS Sweden,6.268152,-10.731191,N,Liberia
LBR_0014,Kakata II,Closed,0,,6.53993904,-10.34222136,N,Liberia
