SURVEY_INFO,esdate,ward,respid,gender,age,hhsize,educ,religion,EBOLA_AWARENESS,ehowget,esignsymptom,eincubation,spreadair,spreadfluids,spreadearly,saltcure,HEALTH,hhmemsick,hhmemsickcare,hhmemsicknocareebola,hhmemsickcarewhere,EBOLA_VIGILANCE,corganizedae,csafeburial,bucket,handsanitizer,ECONOMIC_FOOD_IMPACTS,income7d,income7dunit,income7dnormal,income7dnormalunit,occupation
,12/6/14 10:32,Z100-New KruTown,2001191,1-Male,19,6,0-None,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;9-Rash;10-Red eyes,21,N,Y,Y,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,1-Yes,,3000,1-LD,5000,1-LD,3-Sales and services
,12/6/14 10:40,Z100-New KruTown,2001131,2-Female,60,10,0-None,1-Christian,,2-Eating fruit bitten by bats;5-Touching dead bodies;6-Contact with infected surfac,4-Headache;7-Weakness;9-Rash;10-Red eyes,21,Y,Y,N,Y,,N,,,,,1-Agree,97-Do not know,1-Yes,0-No,,1000,1-LD,1500,1-LD,6-Domestic services
,12/6/14 12:04,Z100-New KruTown,2001132,2-Female,21,6,0-None,2-Muslim,,97-Dont know,1-Vomiting;12-Bleeding,21,Y,Y,N,Y,,,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,500,1-LD,800,1-LD,6-Domestic services
,12/6/14 13:28,Z100-New KruTown,2001114,2-Female,70,15,2-Completed ABC,1-Christian,,97-Dont know,97-Does not know,0,N,N,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,1400,1-LD,7000,1-LD,5-Unskilled manual
,12/6/14 10:34,Z100-New KruTown,2001161,2-Female,33,10,2-Completed ABC,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes,24,N,Y,N,N,,N,,,,,1-Agree,97-Do not know,1-Yes,0-No,,1600,1-LD,2500,1-LD,3-Sales and services
,12/6/14 13:54,Z100-New KruTown,2001194,2-Female,22,10,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat,3,N,Y,N,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,1-Yes,,0,88-N/A,35,2-USD,3-Sales and services
,12/6/14 14:23,Z100-New KruTown,2001134,1-Male,36,3,7-Some university,1-Christian,,3-Bodily fluids of infected pe;6-Contact with infected surfac,9-Rash;10-Red eyes;13-Fatigue,3,N,Y,Y,N,,N,,,,,0-Disagree,1-Agree,1-Yes,1-Yes,,1500,1-LD,2000,1-LD,88-Other
,12/6/14 10:12,Z100-New KruTown,2001151,2-Female,33,8,7-Some university,2-Muslim,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;9-Rash,21,N,Y,Y,N,,N,,,,,0-Disagree,1-Agree,1-Yes,1-Yes,,1500,1-LD,6000,1-LD,1-Professional
,1/9/15 12:18,Z100-New KruTown,2001115,2-Female,37,4,3-Some junior high,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding;18-Cough,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,200,1-LD,1000,1-LD,4-Skilled manual
,12/6/14 11:19,Z100-New KruTown,2001112,2-Female,20,6,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies,1-Vomiting;2-Fever;3-Diarrhea;7-Weakness;10-Red eyes;18-Cough,0,Y,Y,Y,Y,,Y,N,,,,97-Do not know,97-Do not know,1-Yes,0-No,,0,1-LD,2000,1-LD,5-Unskilled manual
,12/6/14 12:30,Z100-New KruTown,2001163,1-Male,35,4,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,2000,1-LD,60,2-USD,4-Skilled manual
,12/6/14 12:43,Z100-New KruTown,2001193,2-Female,31,10,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding,3,N,Y,Y,N,,N,,,,,0-Disagree,1-Agree,1-Yes,1-Yes,,500,1-LD,1500,1-LD,3-Sales and services
,12/6/14 11:30,Z100-New KruTown,2001162,,,,,,,6-Contact with infected surfac,1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;10-Red eyes,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,8000,1-LD,13000,1-LD,3-Sales and services
,12/6/14 13:25,Z100-New KruTown,2001133,1-Male,39,16,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;9-Rash;10-Red eyes;12-Bleeding;18-Cough,2,N,Y,Y,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,0-No,,1000,1-LD,2000,1-LD,4-Skilled manual
